"year";"plot";"guilds";"replicate";"fd.average";"fd.sd"
2019;3;"floral visitors";11;0,111730342018766;NA
2020;3;"floral visitors";11;0,116957622604525;NA
2019;4;"floral visitors";11;0,096833945414844;NA
2020;4;"floral visitors";11;0,393559142913815;NA
2019;5;"floral visitors";11;0,126001858950595;NA
2020;5;"floral visitors";11;0,14508571548118;NA
2019;6;"floral visitors";11;0,0887052371160959;NA
2020;6;"floral visitors";11;0,349536731357894;NA
2019;7;"floral visitors";11;0,140615291110521;NA
2020;7;"floral visitors";11;0;0
2019;8;"floral visitors";11;0,111908150217553;NA
2020;8;"floral visitors";11;0,081665073502801;NA
2019;9;"floral visitors";11;0,185434117547375;NA
2020;9;"floral visitors";11;0,135769429943465;NA
2019;1;"herbivores";11;0,0448460675070973;NA
2020;1;"herbivores";11;0,00202062330085667;NA
2019;2;"herbivores";11;0,130649994728302;NA
2020;2;"herbivores";11;0,0185802352517428;NA
2019;3;"herbivores";11;0,110097464240027;NA
2020;3;"herbivores";11;0,0386262827102193;NA
2019;4;"herbivores";11;0,0516043437632637;NA
2020;4;"herbivores";11;0,0207745646215202;NA
2019;5;"herbivores";11;0,0234444042374282;NA
2020;5;"herbivores";11;0,0159300798934966;NA
2019;6;"herbivores";11;0,0954025022325433;NA
2020;6;"herbivores";11;0,0151803475077795;NA
2019;7;"herbivores";11;0,077091480366906;NA
2020;7;"herbivores";11;0,0275718135002864;NA
2019;8;"herbivores";11;0,072400184948976;NA
2020;8;"herbivores";11;0,00668391484336811;0,00373292566122779
2019;9;"herbivores";11;0,0953377254209265;NA
2020;9;"herbivores";11;0,0119359082031117;NA
2019;1;"plants-floral visitors";11;0,00488849711331376;NA
2020;1;"plants-floral visitors";11;0;0
2019;2;"plants-floral visitors";11;0,056422913586717;NA
2020;2;"plants-floral visitors";11;0,0188414968128835;NA
2019;3;"plants-floral visitors";11;0,0211777178521882;NA
2020;3;"plants-floral visitors";11;0,0320046037987315;NA
2019;4;"plants-floral visitors";11;0,0175024820527794;NA
2020;4;"plants-floral visitors";11;0,144120504782304;NA
2019;5;"plants-floral visitors";11;0,000890474039548641;0,000829936135333578
2020;5;"plants-floral visitors";11;0,0255443572818192;0,00900788336913102
2019;6;"plants-floral visitors";11;0,0275029588133062;0,00807370069208784
2020;6;"plants-floral visitors";11;0,110843796444952;NA
2019;7;"plants-floral visitors";11;0,0121897769773782;NA
2020;7;"plants-floral visitors";11;0;0
2019;8;"plants-floral visitors";11;0,00541600837853583;NA
2020;8;"plants-floral visitors";11;0,00584988211127638;NA
2019;9;"plants-floral visitors";11;0,0170522991756456;NA
2020;9;"plants-floral visitors";11;0,00962688367817853;NA
2019;1;"plants-herbivores";11;0;NA
2020;1;"plants-herbivores";11;0;0
2019;2;"plants-herbivores";11;0;NA
2020;2;"plants-herbivores";11;0;NA
2019;3;"plants-herbivores";11;0;NA
2020;3;"plants-herbivores";11;0;NA
2019;4;"plants-herbivores";11;0;NA
2020;4;"plants-herbivores";11;0;NA
2019;5;"plants-herbivores";11;0;0
2020;5;"plants-herbivores";11;0;NA
2019;6;"plants-herbivores";11;0;0
2020;6;"plants-herbivores";11;0;NA
2019;7;"plants-herbivores";11;8,15253536514386e-05;NA
2020;7;"plants-herbivores";11;0;NA
2019;8;"plants-herbivores";11;0;NA
2020;8;"plants-herbivores";11;0;0
2019;9;"plants-herbivores";11;0;NA
2020;9;"plants-herbivores";11;0;NA
2019;1;"all";11;0;NA
2020;1;"all";11;0;NA
2019;2;"all";11;0,0236867987729303;NA
2020;2;"all";11;0,00283130610867948;NA
2019;3;"all";11;0,00560292982090049;NA
2020;3;"all";11;0;NA
2019;4;"all";11;0,00264104302110583;NA
2020;4;"all";11;0,00125378408097957;NA
2019;5;"all";11;4,34591349399055e-06;1,26216377878033e-05
2020;5;"all";11;0;NA
2019;6;"all";11;2,00298198252641e-05;3,05130939356915e-05
2020;6;"all";11;1,12763794003065e-05;NA
2019;7;"all";11;0,00281143329238148;NA
2020;7;"all";11;0;0
2019;8;"all";11;0,00142381489094136;NA
2020;8;"all";11;0;0
2019;9;"all";11;0,00672092618673869;NA
2020;9;"all";11;0,00441514010897168;NA
2019;1;"plants";12;0;NA
2020;1;"plants";12;1,6518556331523e-07;NA
2019;2;"plants";12;2,5161564517118e-05;NA
2020;2;"plants";12;0;NA
2019;3;"plants";12;0,000626789942895545;NA
2020;3;"plants";12;0,000127396279137243;NA
2019;4;"plants";12;0,00738596572961115;NA
2020;4;"plants";12;0,00438831570423261;NA
2019;5;"plants";12;0,000219247106599119;NA
2020;5;"plants";12;0,000126639834821965;0,000143524230159268
2019;6;"plants";12;0,0158654837600741;NA
2020;6;"plants";12;0,00177995436023058;NA
2019;7;"plants";12;0;NA
2020;7;"plants";12;0;NA
2019;8;"plants";12;0;NA
2020;8;"plants";12;7,10300638103872e-06;NA
2019;9;"plants";12;0;NA
2020;9;"plants";12;0;NA
2019;1;"floral visitors";12;0,112196863793363;NA
2020;1;"floral visitors";12;0,0806130722341654;NA
2019;2;"floral visitors";12;0,171651150872739;NA
2020;2;"floral visitors";12;0,0778974602814242;NA
2019;3;"floral visitors";12;0,140437759429086;NA
2020;3;"floral visitors";12;0,104730206984287;NA
2019;4;"floral visitors";12;0,120299537501393;NA
2020;4;"floral visitors";12;0,310885183665145;NA
2019;5;"floral visitors";12;0,111196826428096;NA
2020;5;"floral visitors";12;0,084258777189926;NA
2019;6;"floral visitors";12;0,114284612989476;NA
2020;6;"floral visitors";12;0,349536731357894;NA
2019;7;"floral visitors";12;0,117873969029872;NA
2020;7;"floral visitors";12;0,00141841294226964;0,0016897416867477
2019;8;"floral visitors";12;0,12060625930289;NA
2020;8;"floral visitors";12;0,0716740560786327;NA
2019;9;"floral visitors";12;0,145262459010507;NA
2020;9;"floral visitors";12;0,139803558243801;NA
2019;1;"herbivores";12;0,0670960322119571;NA
2020;1;"herbivores";12;0,00257091680212853;NA
2019;2;"herbivores";12;0,120971699236133;NA
2020;2;"herbivores";12;0,0169622161039065;NA
2019;3;"herbivores";12;0,0924183443317967;NA
2020;3;"herbivores";12;0,0253843308991823;NA
2019;4;"herbivores";12;0,0434855147272968;NA
2020;4;"herbivores";12;0,0270894309413742;NA
2019;5;"herbivores";12;0,0329255584016337;NA
2020;5;"herbivores";12;0,0167132262344428;NA
2019;6;"herbivores";12;0,0756309106624043;NA
2020;6;"herbivores";12;0,00374207160652864;NA
2019;7;"herbivores";12;0,0825113795656742;NA
2020;7;"herbivores";12;0,0421638120228169;NA
2019;8;"herbivores";12;0,0836388307496031;NA
2020;8;"herbivores";12;0,0731946275503643;NA
2019;9;"herbivores";12;0,111946310554532;NA
2020;9;"herbivores";12;0,0121329456900046;NA
2019;1;"plants-floral visitors";12;0;NA
2020;1;"plants-floral visitors";12;0;NA
2019;2;"plants-floral visitors";12;0,0220450531315112;NA
2020;2;"plants-floral visitors";12;0,0324092308287309;NA
2019;3;"plants-floral visitors";12;0,0414254950513828;NA
2020;3;"plants-floral visitors";12;0,0138790213496513;NA
2019;4;"plants-floral visitors";12;0,00772101160640204;NA
2020;4;"plants-floral visitors";12;0,0839356804720852;NA
2019;5;"plants-floral visitors";12;0,000187554153975426;NA
2020;5;"plants-floral visitors";12;0,0052022351100194;0,00291974693967188
2019;6;"plants-floral visitors";12;0,0419872911797582;NA
2020;6;"plants-floral visitors";12;0,0418553599783425;NA
2019;7;"plants-floral visitors";12;0,0119720365407602;NA
2020;7;"plants-floral visitors";12;7,73402735780794e-07;2,44571419367271e-06
2019;8;"plants-floral visitors";12;0,00193165989201803;NA
2020;8;"plants-floral visitors";12;3,13167842261609e-05;NA
2019;9;"plants-floral visitors";12;0,000637901485391024;NA
2020;9;"plants-floral visitors";12;0,000379941860770892;NA
2019;1;"plants-herbivores";12;0;NA
2020;1;"plants-herbivores";12;0;NA
2019;2;"plants-herbivores";12;0;NA
2020;2;"plants-herbivores";12;0;NA
2019;3;"plants-herbivores";12;0;NA
2020;3;"plants-herbivores";12;0;NA
2019;4;"plants-herbivores";12;0;NA
2020;4;"plants-herbivores";12;0;NA
2019;5;"plants-herbivores";12;0;NA
2020;5;"plants-herbivores";12;0;NA
2019;6;"plants-herbivores";12;0;NA
2020;6;"plants-herbivores";12;0;NA
2019;7;"plants-herbivores";12;0,000619899368424839;NA
2020;7;"plants-herbivores";12;0;NA
2019;8;"plants-herbivores";12;0;NA
2020;8;"plants-herbivores";12;0,00133262241677263;NA
2019;9;"plants-herbivores";12;0;NA
2020;9;"plants-herbivores";12;0;NA
2019;1;"all";12;0;NA
2020;1;"all";12;0,000251860282593862;NA
2019;2;"all";12;0,00585040799387457;NA
2020;2;"all";12;0,0185303339637726;NA
2019;3;"all";12;0,0077592742077186;NA
2020;3;"all";12;2,91053325930835e-05;NA
2019;4;"all";12;0,00923557351423328;NA
2020;4;"all";12;0,00374361531392215;NA
2019;5;"all";12;6,2875668590479e-05;NA
2020;5;"all";12;0;NA
2019;6;"all";12;0;NA
2020;6;"all";12;0;NA
2019;7;"all";12;0,00618637600928909;NA
2020;7;"all";12;1,198718358202e-05;3,08222153888838e-05
2019;8;"all";12;0,000456814064350882;NA
2020;8;"all";12;0,00861838404141098;NA
2019;9;"all";12;0,00369426184870757;NA
2020;9;"all";12;0,00208977288582467;NA
2019;1;"plants";13;0,000296184436101004;NA
2020;1;"plants";13;0;NA
2019;2;"plants";13;1,14520008091997e-05;NA
2020;2;"plants";13;0,0001327305053268;NA
2019;3;"plants";13;0;NA
2020;3;"plants";13;9,89054336373748e-05;NA
2019;4;"plants";13;0,00375563252150539;NA
2020;4;"plants";13;0,00214529618302219;NA
2019;5;"plants";13;0,00150712811289375;0,00104888877742764
2020;5;"plants";13;0;NA
2019;6;"plants";13;8,54324485335629e-05;NA
2020;6;"plants";13;0,000648005826123383;NA
2019;7;"plants";13;0;NA
2020;7;"plants";13;0;NA
2019;8;"plants";13;0;NA
2020;8;"plants";13;0;NA
2019;9;"plants";13;0;NA
2020;9;"plants";13;0;NA
2019;1;"floral visitors";13;0,107488500092424;NA
2020;1;"floral visitors";13;0,0430345143922181;NA
2019;2;"floral visitors";13;0,161288979701814;NA
2020;2;"floral visitors";13;0,0746639816647296;NA
2019;3;"floral visitors";13;0,10000935610662;NA
2020;3;"floral visitors";13;0,0847577112652242;NA
2019;4;"floral visitors";13;0,0986291533278012;NA
2020;4;"floral visitors";13;0,317236823255276;NA
2019;5;"floral visitors";13;0,140792033230058;NA
2020;5;"floral visitors";13;0,078224380502568;NA
2019;6;"floral visitors";13;0,117871376472558;NA
2020;6;"floral visitors";13;0,349536731357894;NA
2019;7;"floral visitors";13;0,156770842547467;NA
2020;7;"floral visitors";13;0,00302780689272773;0,00294732662639184
2019;8;"floral visitors";13;0,135585615591478;NA
2020;8;"floral visitors";13;0,0609493763416271;NA
2019;9;"floral visitors";13;0,111229046985475;NA
2020;9;"floral visitors";13;0,108972919046414;NA
2019;1;"herbivores";13;0,0636420318987425;NA
2020;1;"herbivores";13;0,00566071491882101;NA
2019;2;"herbivores";13;0,12335426858252;NA
2020;2;"herbivores";13;0,00950580481313508;NA
2019;3;"herbivores";13;0,0867201003287002;NA
2020;3;"herbivores";13;0,0273719232893036;NA
2019;4;"herbivores";13;0,0375388820645819;NA
2020;4;"herbivores";13;0,0238499357494117;NA
2019;5;"herbivores";13;0,0389722121022545;NA
2020;5;"herbivores";13;0,0178699488800108;NA
2019;6;"herbivores";13;0,0745985833518165;NA
2020;6;"herbivores";13;0,0134316379788243;NA
2019;7;"herbivores";13;0,0980426536778512;NA
2020;7;"herbivores";13;0,0108770524945295;NA
2019;8;"herbivores";13;0,106805226830263;NA
2020;8;"herbivores";13;0,105099214437649;NA
2019;9;"herbivores";13;0,104979052681344;NA
2020;9;"herbivores";13;0,000221174589505251;0,000258320830078353
2019;1;"plants-floral visitors";13;0;NA
2020;1;"plants-floral visitors";13;0;NA
2019;2;"plants-floral visitors";13;0,0570203773415473;NA
2020;2;"plants-floral visitors";13;0,000271081180731623;NA
2019;3;"plants-floral visitors";13;0,0196333379825126;NA
2020;3;"plants-floral visitors";13;0,0276727402060506;NA
2019;4;"plants-floral visitors";13;0,0306732910659696;NA
2020;4;"plants-floral visitors";13;0,0546276621717878;NA
2019;5;"plants-floral visitors";13;0,0104461766448723;0,00665980778276087
2020;5;"plants-floral visitors";13;4,03785358300607e-05;NA
2019;6;"plants-floral visitors";13;0,0021352174439555;0,0029333781665409
2020;6;"plants-floral visitors";13;0,0315381402149879;NA
2019;7;"plants-floral visitors";13;0,0121119948959859;NA
2020;7;"plants-floral visitors";13;0;0
2019;8;"plants-floral visitors";13;0,0051194720062189;NA
2020;8;"plants-floral visitors";13;0;NA
2019;9;"plants-floral visitors";13;0,0009830405146618;NA
2020;9;"plants-floral visitors";13;0,000222632088473278;NA
2019;1;"plants-herbivores";13;0;NA
2020;1;"plants-herbivores";13;0;NA
2019;2;"plants-herbivores";13;3,25737901979906e-06;NA
2020;2;"plants-herbivores";13;0;NA
2019;3;"plants-herbivores";13;0;NA
2020;3;"plants-herbivores";13;0;NA
2019;4;"plants-herbivores";13;0;NA
2020;4;"plants-herbivores";13;0;NA
2019;5;"plants-herbivores";13;0;0
2020;5;"plants-herbivores";13;0;NA
2019;6;"plants-herbivores";13;0;0
2020;6;"plants-herbivores";13;0;NA
2019;7;"plants-herbivores";13;0,000940410502531155;NA
2020;7;"plants-herbivores";13;0;NA
2019;8;"plants-herbivores";13;0,00022493760141148;NA
2020;8;"plants-herbivores";13;1,65654836524408e-05;NA
2019;9;"plants-herbivores";13;0;NA
2020;9;"plants-herbivores";13;0;0
2019;1;"all";13;0;NA
2020;1;"all";13;6,39783706069811e-05;NA
2019;2;"all";13;0,0129889834726351;NA
2020;2;"all";13;5,49941941154032e-05;NA
2019;3;"all";13;0,00441035434863224;NA
2020;3;"all";13;0,00216014905745814;NA
2019;4;"all";13;0;NA
2020;4;"all";13;0,000372303069182825;NA
2019;5;"all";13;8,83642989284554e-05;0,000100155244445106
2020;5;"all";13;9,21544218546986e-11;2,91417869516846e-10
2019;6;"all";13;5,93195041324174e-06;1,86590121691755e-05
2020;6;"all";13;0;NA
2019;7;"all";13;0,0114262864261201;NA
2020;7;"all";13;0;0
2019;8;"all";13;0,00563303468279234;NA
2020;8;"all";13;0,0168692087609955;NA
2019;9;"all";13;0,000253881996591525;NA
2020;9;"all";13;1,10870535758937e-05;3,50603418401386e-05
2019;1;"plants";14;0;NA
2020;1;"plants";14;0,00029070102151132;NA
2019;2;"plants";14;0,000132703726165536;NA
2020;2;"plants";14;0,000161434296575521;NA
2019;3;"plants";14;1,29984247150453e-06;NA
2020;3;"plants";14;0,000111197952634729;NA
2019;4;"plants";14;0,00817295488433347;NA
2020;4;"plants";14;0,000146422417421324;NA
2019;5;"plants";14;1,75181727953551e-05;3,06561743083192e-05
2020;5;"plants";14;0,0019623883735028;0,00120305093932498
2019;6;"plants";14;0,00149340712756355;NA
2020;6;"plants";14;0,00947666990687675;NA
2019;7;"plants";14;0;NA
2020;7;"plants";14;0;NA
2019;8;"plants";14;0;NA
2020;8;"plants";14;0;NA
2019;9;"plants";14;0;NA
2020;9;"plants";14;0;NA
2019;1;"floral visitors";14;0,0969257579670553;NA
2020;1;"floral visitors";14;0,0974066839523912;NA
2019;2;"floral visitors";14;0,163531755932468;NA
2020;2;"floral visitors";14;0,0808684211573309;NA
2019;3;"floral visitors";14;0,0994144309411703;NA
2020;3;"floral visitors";14;0,102986378032336;NA
2019;4;"floral visitors";14;0,109614387027841;NA
2020;4;"floral visitors";14;0,317237554662951;NA
2019;5;"floral visitors";14;0,117051684506211;NA
2020;5;"floral visitors";14;0,0779279749286937;NA
2019;6;"floral visitors";14;0,107513511648817;NA
2020;6;"floral visitors";14;0,349536731357894;NA
2019;7;"floral visitors";14;0,12441932980107;NA
2020;7;"floral visitors";14;0;0
2019;8;"floral visitors";14;0,102912758232045;NA
2020;8;"floral visitors";14;0,0875726560070634;NA
2019;9;"floral visitors";14;0,123263633959448;NA
2020;9;"floral visitors";14;0,133205485034389;NA
2019;1;"herbivores";14;0,0592933725482897;NA
2020;1;"herbivores";14;0,00628954024869679;NA
2019;2;"herbivores";14;0,142950855548845;NA
2020;2;"herbivores";14;0,0195162571108129;NA
2019;3;"herbivores";14;0,115721668360619;NA
2020;3;"herbivores";14;0,0189150544529255;NA
2019;4;"herbivores";14;0,0615397152713853;NA
2020;4;"herbivores";14;0,0123900118967658;NA
2019;5;"herbivores";14;0,0583393829580785;NA
2020;5;"herbivores";14;0,0198245936432056;NA
2019;6;"herbivores";14;0,0820305474069229;NA
2020;6;"herbivores";14;0,0058940970893497;NA
2019;7;"herbivores";14;0,0734573762975649;NA
2020;7;"herbivores";14;0,0752281182167854;NA
2019;8;"herbivores";14;0,0910332644277864;NA
2020;8;"herbivores";14;0,00857325581564646;0,00311681901871395
2019;9;"herbivores";14;0,101744819042154;NA
2020;9;"herbivores";14;0,013081158548461;NA
2019;1;"plants-floral visitors";14;0;NA
2020;1;"plants-floral visitors";14;0;NA
2019;2;"plants-floral visitors";14;0,0116410578186384;NA
2020;2;"plants-floral visitors";14;0,0132587483237052;NA
2019;3;"plants-floral visitors";14;0,00282376370002404;NA
2020;3;"plants-floral visitors";14;0,0345287749549856;NA
2019;4;"plants-floral visitors";14;0,049673362046674;NA
2020;4;"plants-floral visitors";14;0,0286937308365309;NA
2019;5;"plants-floral visitors";14;0,00312820629201104;0,00261772457310892
2020;5;"plants-floral visitors";14;0,0104362620134628;0,00677265451596925
2019;6;"plants-floral visitors";14;0,00866703417726542;0,00575386610414785
2020;6;"plants-floral visitors";14;0,0255289617799332;NA
2019;7;"plants-floral visitors";14;0,000753743061595462;NA
2020;7;"plants-floral visitors";14;0;0
2019;8;"plants-floral visitors";14;0,00156465112057665;NA
2020;8;"plants-floral visitors";14;0,00550074523477632;NA
2019;9;"plants-floral visitors";14;0,0090769013712004;NA
2020;9;"plants-floral visitors";14;0,000169876336850974;NA
2019;1;"plants-herbivores";14;0;NA
2020;1;"plants-herbivores";14;0;0
2019;2;"plants-herbivores";14;0;NA
2020;2;"plants-herbivores";14;0;NA
2019;3;"plants-herbivores";14;0;NA
2020;3;"plants-herbivores";14;0;NA
2019;4;"plants-herbivores";14;0;NA
2020;4;"plants-herbivores";14;0;NA
2019;5;"plants-herbivores";14;0;0
2020;5;"plants-herbivores";14;0;NA
2019;6;"plants-herbivores";14;0;NA
2020;6;"plants-herbivores";14;0;NA
2019;7;"plants-herbivores";14;8,38338945260393e-05;NA
2020;7;"plants-herbivores";14;8,00276564208581e-05;NA
2019;8;"plants-herbivores";14;0;NA
2020;8;"plants-herbivores";14;0;0
2019;9;"plants-herbivores";14;0;NA
2020;9;"plants-herbivores";14;0;NA
2019;1;"all";14;0;NA
2020;1;"all";14;6,83704112239619e-05;0,000153676177953932
2019;2;"all";14;0,00615488750806843;NA
2020;2;"all";14;0,00275209385903998;NA
2019;3;"all";14;0,00563394030654927;NA
2020;3;"all";14;0,00031480140854341;NA
2019;4;"all";14;0,0110925348995672;NA
2020;4;"all";14;0,000218183456079407;NA
2019;5;"all";14;2,67841855495794e-07;6,34315532777321e-07
2020;5;"all";14;0;NA
2019;6;"all";14;3,36738518261072e-06;8,94839674895295e-06
2020;6;"all";14;0;NA
2019;7;"all";14;0,00203699347315742;NA
2020;7;"all";14;0;0
2019;8;"all";14;0,0020930297745857;NA
2020;8;"all";14;0,00224419668589252;0,00267739330596158
2019;9;"all";14;0,00131297416092236;NA
2020;9;"all";14;0,00758970574119325;NA
2019;1;"plants";15;0;NA
2020;1;"plants";15;0;NA
2019;2;"plants";15;4,51612315379905e-05;NA
2020;2;"plants";15;0,000107742679492863;NA
2019;3;"plants";15;0;NA
2020;3;"plants";15;0;NA
2019;4;"plants";15;0,00384263398326609;NA
2020;4;"plants";15;0,00471397927936311;NA
2019;5;"plants";15;0,000295990556744543;0,000328229775811597
2020;5;"plants";15;8,29973094582193e-07;NA
2019;6;"plants";15;0,000330450265421682;NA
2020;6;"plants";15;0,00209348590674301;NA
2019;7;"plants";15;0;NA
2020;7;"plants";15;0;NA
2019;8;"plants";15;2,01688914039779e-05;NA
2020;8;"plants";15;0;NA
2019;9;"plants";15;0;NA
2020;9;"plants";15;0;NA
2019;1;"floral visitors";15;0,102246619794206;NA
2020;1;"floral visitors";15;0,0648354630684834;NA
2019;2;"floral visitors";15;0,149576400882285;NA
2020;2;"floral visitors";15;0,0603247634245545;NA
2019;3;"floral visitors";15;0,0868654702161711;NA
2020;3;"floral visitors";15;0,0797706023210132;NA
2019;4;"floral visitors";15;0,0877853705169782;NA
2020;4;"floral visitors";15;0,310895366582583;NA
2019;5;"floral visitors";15;0,105959331288054;NA
2020;5;"floral visitors";15;0,0768772814026895;NA
2019;6;"floral visitors";15;0,126483766669934;NA
2020;6;"floral visitors";15;0,349536731357894;NA
2019;7;"floral visitors";15;0,148742861161963;NA
2020;7;"floral visitors";15;0,00730212667860141;0,00610791023344113
2019;8;"floral visitors";15;0,120866876323803;NA
2020;8;"floral visitors";15;0,0907466645424682;NA
2019;9;"floral visitors";15;0,12820508865883;NA
2020;9;"floral visitors";15;0,129220721358576;NA
2019;1;"herbivores";15;0,068868189482049;NA
2020;1;"herbivores";15;0,00207854124977111;NA
2019;2;"herbivores";15;0,124947360536588;NA
2020;2;"herbivores";15;0,0223032386152376;NA
2019;3;"herbivores";15;0,100905357140034;NA
2020;3;"herbivores";15;0,0216251325315445;NA
2019;4;"herbivores";15;0,0451029680420424;NA
2020;4;"herbivores";15;0,0221604573777312;NA
2019;5;"herbivores";15;0,0309553345957064;NA
2020;5;"herbivores";15;0,0130179306876449;NA
2019;6;"herbivores";15;0,0882480972948862;NA
2020;6;"herbivores";15;0,0109230685215512;NA
2019;7;"herbivores";15;0,071229702531984;NA
2020;7;"herbivores";15;0,0310314811337712;NA
2019;8;"herbivores";15;0,116154492112735;NA
2020;8;"herbivores";15;0,0976358674552242;NA
2019;9;"herbivores";15;0,0864942535807062;NA
2020;9;"herbivores";15;0,0134912140173432;NA
2019;1;"plants-floral visitors";15;0,0010279221764448;0,00123599823208607
2020;1;"plants-floral visitors";15;0;NA
2019;2;"plants-floral visitors";15;0,0265899491506529;NA
2020;2;"plants-floral visitors";15;0,0104669482848011;NA
2019;3;"plants-floral visitors";15;0,0229737857467889;NA
2020;3;"plants-floral visitors";15;0,0135660215145841;NA
2019;4;"plants-floral visitors";15;0;NA
2020;4;"plants-floral visitors";15;0,0511434911982301;NA
2019;5;"plants-floral visitors";15;0,0151104270545303;0,0102285433427593
2020;5;"plants-floral visitors";15;0,000174652916457996;NA
2019;6;"plants-floral visitors";15;0,000211345209319698;NA
2020;6;"plants-floral visitors";15;0,0438840325876361;NA
2019;7;"plants-floral visitors";15;0,0203891266379382;NA
2020;7;"plants-floral visitors";15;1,32258641448751e-05;4,18238547217605e-05
2019;8;"plants-floral visitors";15;0,00725773508224879;NA
2020;8;"plants-floral visitors";15;0,0163830787200413;NA
2019;9;"plants-floral visitors";15;0,00224135472138815;NA
2020;9;"plants-floral visitors";15;0,00368673082854524;NA
2019;1;"plants-herbivores";15;0;NA
2020;1;"plants-herbivores";15;0;NA
2019;2;"plants-herbivores";15;0;NA
2020;2;"plants-herbivores";15;0;NA
2019;3;"plants-herbivores";15;0;NA
2020;3;"plants-herbivores";15;0;NA
2019;4;"plants-herbivores";15;0;NA
2020;4;"plants-herbivores";15;0;NA
2019;5;"plants-herbivores";15;0;0
2020;5;"plants-herbivores";15;0;NA
2019;6;"plants-herbivores";15;0;NA
2020;6;"plants-herbivores";15;0;NA
2019;7;"plants-herbivores";15;0,000281584703766901;NA
2020;7;"plants-herbivores";15;3,1198597553385e-05;NA
2019;8;"plants-herbivores";15;0;NA
2020;8;"plants-herbivores";15;0,00386137188182463;NA
2019;9;"plants-herbivores";15;1,35672780648086e-06;NA
2020;9;"plants-herbivores";15;9,46072426597752e-06;NA
2019;1;"all";15;0;0
2020;1;"all";15;0;NA
2019;2;"all";15;0,0156819883535752;NA
2020;2;"all";15;0,00288119615677021;NA
2019;3;"all";15;0,00696411209796089;NA
2020;3;"all";15;0,000554920386572958;NA
2019;4;"all";15;0,00277832245873104;NA
2020;4;"all";15;0,00185039330937559;NA
2019;5;"all";15;0,000267968723686522;0,000255558006028009
2020;5;"all";15;0;NA
2019;6;"all";15;0;NA
2020;6;"all";15;0;NA
2019;7;"all";15;0,00627175878500063;NA
2020;7;"all";15;3,80603223260586e-05;6,83348640715583e-05
2019;8;"all";15;0,00287215784242636;NA
2020;8;"all";15;0,0173236502359352;NA
2019;9;"all";15;4,83615898241497e-05;NA
2020;9;"all";15;0,001112781494212;NA
2019;1;"plants";16;0;NA
2020;1;"plants";16;0;NA
2019;2;"plants";16;0,000276125102573787;NA
2020;2;"plants";16;0,000224702064856875;NA
2019;3;"plants";16;0;NA
2020;3;"plants";16;3,64231828626068e-05;NA
2019;4;"plants";16;0,00746879613280146;NA
2020;4;"plants";16;0,011503766752447;NA
2019;5;"plants";16;0;NA
2020;5;"plants";16;3,26237394104589e-05;2,23121147975257e-05
2019;6;"plants";16;0,00622359273605909;NA
2020;6;"plants";16;0,00517454067600931;NA
2019;7;"plants";16;0;NA
2020;7;"plants";16;0;NA
2019;8;"plants";16;6,3719173736693e-05;NA
2020;8;"plants";16;0;NA
2019;9;"plants";16;0;NA
2020;9;"plants";16;0;NA
2019;1;"floral visitors";16;0,125078937075939;NA
2020;1;"floral visitors";16;0,0435668849150731;NA
2019;2;"floral visitors";16;0,172169543342308;NA
2020;2;"floral visitors";16;0,117759684551101;NA
2019;3;"floral visitors";16;0,0895516658381161;NA
2020;3;"floral visitors";16;0,0993233904322988;NA
2019;4;"floral visitors";16;0,1208358162854;NA
2020;4;"floral visitors";16;0,310898287613941;NA
2019;5;"floral visitors";16;0,123509296765691;NA
2020;5;"floral visitors";16;0,0849396710708363;NA
2019;6;"floral visitors";16;0,0662853157718767;NA
2020;6;"floral visitors";16;0,349536731357894;NA
2019;7;"floral visitors";16;0,128877379031619;NA
2020;7;"floral visitors";16;0;0
2019;8;"floral visitors";16;0,109628283692269;NA
2020;8;"floral visitors";16;0,0935777136701498;NA
2019;9;"floral visitors";16;0,14291367283143;NA
2020;9;"floral visitors";16;0,101383136388145;NA
2019;1;"herbivores";16;0,095509749545248;NA
2020;1;"herbivores";16;0,00270923196054559;NA
2019;2;"herbivores";16;0,126294876576927;NA
2020;2;"herbivores";16;0,0452842538321074;NA
2019;3;"herbivores";16;0,108111047935046;NA
2020;3;"herbivores";16;0,0198245584532887;NA
2019;4;"herbivores";16;0,0386697130819506;NA
2020;4;"herbivores";16;0,0128658510216579;NA
2019;5;"herbivores";16;0,0261535044672497;NA
2020;5;"herbivores";16;0,0102470621454016;NA
2019;6;"herbivores";16;0,0802772600479105;NA
2020;6;"herbivores";16;0,00557140491970368;NA
2019;7;"herbivores";16;0,0539817614594535;NA
2020;7;"herbivores";16;0,0256465784063177;NA
2019;8;"herbivores";16;0,0971536843071149;NA
2020;8;"herbivores";16;0,0930965989489522;NA
2019;9;"herbivores";16;0,086040561969689;NA
2020;9;"herbivores";16;0,00851938994544718;NA
2019;1;"plants-floral visitors";16;0,00148514388000719;0,00182116725095922
2020;1;"plants-floral visitors";16;0;NA
2019;2;"plants-floral visitors";16;0,0371054316326195;NA
2020;2;"plants-floral visitors";16;0,0293151801326394;NA
2019;3;"plants-floral visitors";16;0,0181892860115065;NA
2020;3;"plants-floral visitors";16;0,0123476758132931;NA
2019;4;"plants-floral visitors";16;0,0221996663660246;NA
2020;4;"plants-floral visitors";16;0,197467097255346;NA
