"year";"plot";"guilds";"metric";"value"
2020;1;"herbivores";"modularity";0,274371970815458
2019;2;"herbivores";"modularity";0,312178329119687
2020;2;"herbivores";"modularity";0,210251958941602
2019;3;"herbivores";"modularity";0,339457525044037
2020;3;"herbivores";"modularity";0,284988548060542
2019;4;"herbivores";"modularity";0,307874921565933
2020;4;"herbivores";"modularity";0,220540108538912
2019;5;"herbivores";"modularity";0,133098526113272
2020;5;"herbivores";"modularity";0,201413080995251
2019;6;"herbivores";"modularity";0,249800476787668
2020;6;"herbivores";"modularity";0,287365091981443
2019;7;"herbivores";"modularity";0,370359580014987
2020;7;"herbivores";"modularity";1,0955862952966e-16
2019;8;"herbivores";"modularity";0,39022395638002
2020;8;"herbivores";"modularity";0,0725731481185517
2019;9;"herbivores";"modularity";0,346876455415596
2020;9;"herbivores";"modularity";0,332022047113424
2019;1;"plants-floral visitors";"modularity";0,342227039861442
2020;1;"plants-floral visitors";"modularity";0,42432494836105
2019;2;"plants-floral visitors";"modularity";0,304020809386791
2020;2;"plants-floral visitors";"modularity";0,424554303809716
2019;3;"plants-floral visitors";"modularity";0,39365037860302
2020;3;"plants-floral visitors";"modularity";0,462354296598045
2019;4;"plants-floral visitors";"modularity";0,396898325005277
2020;4;"plants-floral visitors";"modularity";0,333483550410447
2019;5;"plants-floral visitors";"modularity";0,368763485715653
2020;5;"plants-floral visitors";"modularity";0,43047367322675
2019;6;"plants-floral visitors";"modularity";0,387032088112261
2020;6;"plants-floral visitors";"modularity";0,322298222755897
2019;7;"plants-floral visitors";"modularity";0,414538429155659
2020;7;"plants-floral visitors";"modularity";0,419720492466402
2019;8;"plants-floral visitors";"modularity";0,440677788777896
2020;8;"plants-floral visitors";"modularity";0,454550800898143
2019;9;"plants-floral visitors";"modularity";0,416212695547258
2020;9;"plants-floral visitors";"modularity";0,498062627414652
2019;1;"plants-herbivores";"modularity";0,147655909371467
2020;1;"plants-herbivores";"modularity";0,335372057207456
2019;2;"plants-herbivores";"modularity";0,250315813149084
2020;2;"plants-herbivores";"modularity";0,292969301238197
2019;3;"plants-herbivores";"modularity";0,0884529329226997
2020;3;"plants-herbivores";"modularity";0,300712453593878
2019;4;"plants-herbivores";"modularity";0,216209712330577
2020;4;"plants-herbivores";"modularity";0,195026832449593
2019;5;"plants-herbivores";"modularity";0,194171618815609
2020;5;"plants-herbivores";"modularity";0,168830869077797
2019;6;"plants-herbivores";"modularity";0,107798032807275
2020;6;"plants-herbivores";"modularity";0,132906258769445
2019;7;"plants-herbivores";"modularity";0,37269604939275
2020;7;"plants-herbivores";"modularity";0,317779561284334
2019;8;"plants-herbivores";"modularity";0,368378467785125
2020;8;"plants-herbivores";"modularity";0,222033822211191
2019;9;"plants-herbivores";"modularity";0,299901024163094
2020;9;"plants-herbivores";"modularity";0,434267774302359
2019;1;"all";"modularity";0,367161164408952
2020;1;"all";"modularity";0,430044549487478
2019;2;"all";"modularity";0,377637961108572
2020;2;"all";"modularity";0,394934793509023
2019;3;"all";"modularity";0,33955804680666
2020;3;"all";"modularity";0,445359738538187
2019;4;"all";"modularity";0,404100944218662
2020;4;"all";"modularity";0,372145712418835
2019;5;"all";"modularity";0,339903440618168
2020;5;"all";"modularity";0,383146932647289
2019;6;"all";"modularity";0,341546080712914
2020;6;"all";"modularity";0,280156970321719
2019;7;"all";"modularity";0,457874803865484
2020;7;"all";"modularity";0,405377156868507
2019;8;"all";"modularity";0,463442409024305
2020;8;"all";"modularity";0,440726119560084
2019;9;"all";"modularity";0,418027578329473
2020;9;"all";"modularity";0,507380327689063
2019;1;"plants";"complexity";0,0692420588003231
2020;1;"plants";"complexity";0,0692420588003231
2019;2;"plants";"complexity";0,0531106556270729
2020;2;"plants";"complexity";0,0531106556270729
2019;3;"plants";"complexity";0,073968835727788
2020;3;"plants";"complexity";0,073968835727788
2019;4;"plants";"complexity";0,0854369271649798
2020;4;"plants";"complexity";0,0854369271649798
2019;5;"plants";"complexity";0,0730854595097666
2020;5;"plants";"complexity";0,0730854595097666
2019;6;"plants";"complexity";0,0896933373499165
2020;6;"plants";"complexity";0,0896933373499165
2019;7;"plants";"complexity";0,0235487197848974
2020;7;"plants";"complexity";0,0235487197848974
2019;8;"plants";"complexity";0,0277485849995954
2020;8;"plants";"complexity";0,0277485849995954
2019;9;"plants";"complexity";0,0440648156329945
2020;9;"plants";"complexity";0,0440648156329945
2019;1;"floral visitors";"complexity";0,0361475646104071
2020;1;"floral visitors";"complexity";0,0239897272350776
2019;2;"floral visitors";"complexity";0,0576373621883503
2020;2;"floral visitors";"complexity";0,0243492557834654
2019;3;"floral visitors";"complexity";0,0480636591102774
2020;3;"floral visitors";"complexity";0,0375738347684294
2019;4;"floral visitors";"complexity";0,0371560500969017
2020;4;"floral visitors";"complexity";0,114877538833606
2019;5;"floral visitors";"complexity";0,0713100784919688
2020;5;"floral visitors";"complexity";0,0672733896924518
2019;6;"floral visitors";"complexity";0,0537328944378594
2020;6;"floral visitors";"complexity";0,515156453130604
2019;7;"floral visitors";"complexity";0,0373098270197667
2020;7;"floral visitors";"complexity";0,103428191057317
2019;8;"floral visitors";"complexity";0,0232521633669865
2020;8;"floral visitors";"complexity";0,0284210170569326
2019;9;"floral visitors";"complexity";0,0798370409211725
2020;9;"floral visitors";"complexity";0,0283056962800555
2019;1;"herbivores";"complexity";0,0906286865845526
2020;1;"herbivores";"complexity";0,0570484487498092
2019;2;"herbivores";"complexity";0,0694172686555083
2020;2;"herbivores";"complexity";0,053476412503543
2019;3;"herbivores";"complexity";0,0938194683727547
2020;3;"herbivores";"complexity";0,040584939245273
2019;4;"herbivores";"complexity";0,0451497670861481
2020;4;"herbivores";"complexity";0,0381944579406339
2019;5;"herbivores";"complexity";0,0443097937240718
2020;5;"herbivores";"complexity";0,0397524436022012
2019;6;"herbivores";"complexity";0,057203646352958
2020;6;"herbivores";"complexity";0,04333054497909
2019;7;"herbivores";"complexity";0,104674740234235
2020;7;"herbivores";"complexity";0,0412980490169826
2019;8;"herbivores";"complexity";0,122044020116632
2020;8;"herbivores";"complexity";0,0331376460019722
2019;9;"herbivores";"complexity";0,0635192176089602
2020;9;"herbivores";"complexity";0,0430144603711775
2019;1;"plants-floral visitors";"complexity";0,0976607246703696
2020;1;"plants-floral visitors";"complexity";0,0757623365519752
2019;2;"plants-floral visitors";"complexity";0,0951500546638876
2020;2;"plants-floral visitors";"complexity";0,0644010511129228
2019;3;"plants-floral visitors";"complexity";0,103835613218034
2020;3;"plants-floral visitors";"complexity";0,0830591791453685
2019;4;"plants-floral visitors";"complexity";0,124747589703936
2020;4;"plants-floral visitors";"complexity";0,161816478862863
2019;5;"plants-floral visitors";"complexity";0,121648464779013
2020;5;"plants-floral visitors";"complexity";0,132228272656947
2019;6;"plants-floral visitors";"complexity";0,140361892240973
2020;6;"plants-floral visitors";"complexity";0,299612094436251
2019;7;"plants-floral visitors";"complexity";0,0818606015897064
2020;7;"plants-floral visitors";"complexity";0,163701211909593
2019;8;"plants-floral visitors";"complexity";0,0641260951725345
2020;8;"plants-floral visitors";"complexity";0,0787340616586181
2019;9;"plants-floral visitors";"complexity";0,117841664651618
2020;9;"plants-floral visitors";"complexity";0,0754963948086773
2019;1;"plants-herbivores";"complexity";0,117227916807458
2020;1;"plants-herbivores";"complexity";0,112244474427887
2019;2;"plants-herbivores";"complexity";0,0926759088778163
2020;2;"plants-herbivores";"complexity";0,11312891438167
2019;3;"plants-herbivores";"complexity";0,129633375610833
2020;3;"plants-herbivores";"complexity";0,0933935484262254
2019;4;"plants-herbivores";"complexity";0,111966849478075
2020;4;"plants-herbivores";"complexity";0,100120133197943
2019;5;"plants-herbivores";"complexity";0,100585711605549
2020;5;"plants-herbivores";"complexity";0,0951001549829982
2019;6;"plants-herbivores";"complexity";0,135263030174688
2020;6;"plants-herbivores";"complexity";0,112115242697435
2019;7;"plants-herbivores";"complexity";0,0984152200358149
2020;7;"plants-herbivores";"complexity";0,0646460333898566
2019;8;"plants-herbivores";"complexity";0,142190080865741
2020;8;"plants-herbivores";"complexity";0,0599030184151932
2019;9;"plants-herbivores";"complexity";0,076547793399979
2020;9;"plants-herbivores";"complexity";0,0741038862542499
2019;1;"all";"complexity";0,13478775535984
2020;1;"all";"complexity";0,119562449856507
2019;2;"all";"complexity";0,113547847732588
2020;2;"all";"complexity";0,117266008901941
2019;3;"all";"complexity";0,145590887873619
2020;3;"all";"complexity";0,106154711487589
2019;4;"all";"complexity";0,140141660890104
2020;4;"all";"complexity";0,153834540632831
2019;5;"all";"complexity";0,13121763439356
2020;5;"all";"complexity";0,13508929822018
2019;6;"all";"complexity";0,16689945563319
2020;6;"all";"complexity";0,214629578596045
2019;7;"all";"complexity";0,112975557731666
2020;7;"all";"complexity";0,147653653989852
2019;8;"all";"complexity";0,13703185325226
2020;8;"all";"complexity";0,0881345320972849
2019;9;"all";"complexity";0,11535052053424
2020;9;"all";"complexity";0,091829039048137
